0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:20:12 +0800] "GET /Book2/FenleiServlet?action=showPasgefl HTTP/1.1" 200 11106
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:20:15 +0800] "GET //Book2/FenleiServlet?action=showOne&id=144&pageNew=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:20:15 +0800] "GET /Book2/changeFenlei.jsp HTTP/1.1" 200 3701
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:20:17 +0800] "GET /Book2/FenleiServlet?action=showPasgefl&pageNew=1 HTTP/1.1" 200 11106
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:20:21 +0800] "GET /Book2/addfl.jsp HTTP/1.1" 200 3478
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:20:23 +0800] "GET /Book2/FenleiServlet?action=showPasgefl HTTP/1.1" 200 11106
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:20:26 +0800] "GET //Book2/FenleiServlet?action=showOne&id=146&pageNew=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:20:26 +0800] "GET /Book2/changeFenlei.jsp HTTP/1.1" 200 3701
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:20:32 +0800] "GET /Book2/BookServlet?action=showPasgeBook HTTP/1.1" 200 26511
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:20:33 +0800] "GET //Book2/BookServlet?action=showOne&id=129&pageNew=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:20:33 +0800] "GET /Book2/changeBook.jsp HTTP/1.1" 200 6684
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:20:33 +0800] "POST /Book2/FenleiServlet HTTP/1.1" 200 3323
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:20:35 +0800] "GET /Book2/UserServlet?action=showPasgeUser HTTP/1.1" 200 11801
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:20:36 +0800] "GET //Book2/UserServlet?action=showOne&id=133&pageNew=1 HTTP/1.1" 302 -
